user_id,Content_ID,rating
1,31219,5.0
6,3482,4.5
6,6503,4.0
6,6631,5.0
6,8227,4.0
6,9237,4.5
6,9459,4.0
6,29360,4.0
6,29633,4.5
7,6679,4.6
7,6738,4.5
7,11795,4.0
7,29008,5.0
7,29543,5.0
7,29631,5.0
8,9084,4.0
8,9581,5.0
8,9598,4.25
8,29248,4.333333333333333
9,4978,5.0
9,5598,3.5
9,29009,4.0
10,530,4.0
10,8580,4.666666666666667
10,9602,4.0
10,9913,4.0
10,11532,5.0
10,29545,5.0
11,60,4.25
11,17953,3.5
11,25425,4.0
11,31932,3.75
11,31980,3.75
11,32168,4.75
11,33140,3.0
11,34686,4.0
12,14435,3.5
16,14435,3.5
12,16824,3.5
12,20888,4.142857142857143
12,22855,4.0
12,22967,4.625
12,25540,3.3333333333333335
12,25561,4.333333333333333
12,28111,3.6
13,15250,3.5
13,15841,4.0
13,17143,4.0
13,22906,3.5
14,13669,4.0
14,22852,4.0
14,25359,4.0
14,25416,4.0
14,28109,4.0
14,31945,4.333333333333333
15,6285,4.875
15,12590,4.0
15,15074,4.0
15,22230,4.0
15,22955,4.0
15,23394,4.625
16,1103,4.5
16,15697,3.0
30,15697,5.0
16,17934,3.5
16,25361,4.75
16,29756,4.0
16,31929,4.0
16,33376,3.5
16,34608,4.666666666666667
16,34662,4.0
16,34676,5.0
16,34687,4.0
17,16732,5.0
17,26446,4.4
17,28795,3.0
17,32032,4.0
18,25471,4.0
18,26615,4.333333333333333
18,26661,4.0
18,28451,3.3333333333333335
18,34611,4.0
18,34664,4.0
19,25293,4.0
19,28397,4.666666666666667
19,29742,3.0
19,34694,4.0
19,34714,4.0
19,34782,4.5
20,16699,4.5
20,25836,3.6666666666666665
20,26498,4.0
20,26622,5.0
20,27903,4.0
20,33340,3.0
20,33375,3.5
20,34781,3.0
21,22019,3.5
21,30299,3.0
21,33542,4.0
21,33709,5.0
27,34084,5.0
22,33817,4.0
23,15760,4.0
23,16960,4.142857142857143
23,22812,3.5
23,28147,3.5
23,30984,4.0
24,16948,4.5
24,17121,4.0
24,18953,4.0
24,20083,4.5
24,30594,4.5
24,33711,4.333333333333333
24,34087,4.0
25,27399,4.5
25,27440,4.0
25,33820,4.5
26,28320,5.0
29,28320,5.0
26,30430,5.0
29,30430,5.0
26,30524,5.0
30,30524,5.0
26,31101,5.0
29,31101,4.0
29,32664,5.0
30,32664,4.0
26,32750,4.5
27,16223,4.5
27,16913,4.0
27,18060,4.666666666666667
27,22221,5.0
27,28303,5.0
29,28303,3.0
27,31404,5.0
27,32655,4.0
27,33387,3.0
27,33847,4.0
28,15986,3.0
28,17074,5.0
29,17074,4.5
28,17082,3.0
29,17082,4.0
28,17133,4.0
29,17133,5.0
28,17920,5.0
28,20950,5.0
28,22549,5.0
28,28152,5.0
29,16733,4.0
29,22548,4.0
29,28255,3.0
30,28255,5.0
29,31794,4.5
29,32656,4.5
30,32656,4.5
29,32751,5.0
29,33208,5.0
29,33328,5.0
30,15938,5.0
30,16219,5.0
30,16691,5.0
30,17073,5.0
30,28319,5.0
30,31793,4.0
30,32403,5.0
30,34081,5.0
30,34144,4.0
