content_id,activity,attribute_link,attribute_value,user_id,datetime
27582,unload content,,,1,2022-04-04 19:34:39.646858
27544,select content,unknown,,1,2022-04-04 19:34:39.649148
27544,unload content,,,1,2022-04-04 19:34:41.749681
27553,select content,unknown,,1,2022-04-04 19:34:41.751116
27553,unload content,,,1,2022-04-04 19:35:07.063251
27553,select content,Next episode,27553,1,2022-04-04 19:35:07.066339
27553,unload content,,,1,2022-04-04 19:35:10.222959
27553,select content,Next episode,27553,1,2022-04-04 19:35:10.223932
27553,unload content,,,1,2022-04-04 19:35:11.535659
27553,select content,Next episode,27553,1,2022-04-04 19:35:11.536519
27553,unload content,,,1,2022-04-04 19:35:12.655243
27553,select content,Next episode,27553,1,2022-04-04 19:35:12.656176
27553,unload content,,,1,2022-04-04 19:35:13.792639
27553,select content,Next episode,27553,1,2022-04-04 19:35:13.793397
27553,unload content,,,1,2022-04-04 19:35:39.191288
27553,select content,Next episode,27553,1,2022-04-04 19:35:39.194048
27553,unload content,,,1,2022-04-04 19:35:40.016307
27553,select content,Next episode,27553,1,2022-04-04 19:35:40.025678
27553,unload content,,,1,2022-04-04 19:35:40.720163
27553,select content,Next episode,27553,1,2022-04-04 19:35:40.722345
27553,unload content,,,1,2022-04-04 19:35:41.418777
27553,select content,Next episode,27553,1,2022-04-04 19:35:41.419776
27553,unload content,,,1,2022-04-04 19:36:05.640565
27561,select content,unknown,,1,2022-04-04 19:36:05.642979
27561,unload content,,,1,2022-04-04 19:36:12.154398
27553,select content,unknown,,1,2022-04-04 19:36:12.155230
27553,unload content,,,1,2022-04-04 19:36:13.887949
27544,select content,unknown,,1,2022-04-04 19:36:13.890471
27544,unload content,,,1,2022-04-04 19:37:08.838819
27553,select content,unknown,,1,2022-04-04 19:37:08.861372
27553,unload content,,,1,2022-04-04 19:37:11.137208
27561,select content,unknown,,1,2022-04-04 19:37:11.138759
27561,unload content,,,1,2022-04-04 19:37:14.481872
27582,select content,unknown,,1,2022-04-04 19:37:14.483137
27582,unload content,,,1,2022-04-04 19:40:01.006307
27561,select content,unknown,,1,2022-04-04 19:40:01.010864
27561,unload content,,,1,2022-04-04 19:40:02.493994
27553,select content,unknown,,1,2022-04-04 19:40:02.495130
27553,unload content,,,1,2022-04-04 19:40:03.911126
27544,select content,unknown,,1,2022-04-04 19:40:03.912284
27544,unload content,,,1,2022-04-04 19:44:09.828528
"16847    27545
Name: Content_ID, dtype: int64",select content,Next episode,27544,1,2022-04-04 19:44:09.831472
"16847    27545
Name: Content_ID, dtype: int64",unload content,,,1,2022-04-04 19:46:26.605421
,search,,Antiques Roadshow,1,2022-04-04 19:46:48.876850
27544,select content,Title search,Antiques Roadshow,1,2022-04-04 19:46:50.973573
27544,unload content,,,1,2022-04-04 19:46:56.354905
27545,select content,Next episode,27544,1,2022-04-04 19:46:56.356516
27545,unload content,,,1,2022-04-04 19:46:57.759333
27546,select content,Next episode,27545,1,2022-04-04 19:46:57.760300
27546,unload content,,,1,2022-04-04 19:46:58.913485
27547,select content,Next episode,27546,1,2022-04-04 19:46:58.914711
27547,unload content,,,1,2022-04-04 19:46:59.819997
27548,select content,Next episode,27547,1,2022-04-04 19:46:59.821194
27548,unload content,,,1,2022-04-04 19:47:00.606125
27549,select content,Next episode,27548,1,2022-04-04 19:47:00.609428
27549,unload content,,,1,2022-04-04 19:47:01.356234
27551,select content,Next episode,27549,1,2022-04-04 19:47:01.357623
27551,unload content,,,1,2022-04-04 19:47:02.107852
27552,select content,Next episode,27551,1,2022-04-04 19:47:02.109559
27552,unload content,,,1,2022-04-04 19:47:02.810319
27553,select content,Next episode,27552,1,2022-04-04 19:47:02.812218
27553,unload content,,,1,2022-04-04 19:47:03.613088
27554,select content,Next episode,27553,1,2022-04-04 19:47:03.615073
27554,unload content,,,1,2022-04-04 19:47:04.387429
27550,select content,Next episode,27554,1,2022-04-04 19:47:04.404191
27550,unload content,,,1,2022-04-04 19:47:07.065815
27561,select content,unknown,,1,2022-04-04 19:47:07.066879
27561,unload content,,,1,2022-04-04 19:47:08.507056
27559,select content,Next episode,27561,1,2022-04-04 19:47:08.508445
27559,unload content,,,1,2022-04-04 19:47:09.219661
27562,select content,Next episode,27559,1,2022-04-04 19:47:09.222650
27562,unload content,,,1,2022-04-04 19:47:09.815408
27582,select content,Next episode,27562,1,2022-04-04 19:47:09.817754
27582,unload content,,,1,2022-04-04 19:47:13.723891
27561,select content,unknown,,1,2022-04-04 19:47:13.725504
27561,unload content,,,1,2022-04-04 19:47:19.694604
27561,select content,unknown,,1,2022-04-04 19:47:19.698148
27561,unload content,,,1,2022-04-04 19:47:30.315705
27559,select content,Next episode,27561,1,2022-04-04 19:47:30.317547
27559,unload content,,,1,2022-04-04 19:47:33.797534
27562,select content,Next episode,27559,1,2022-04-04 19:47:33.800320
27562,unload content,,,1,2022-04-04 19:47:35.228125
27582,select content,Next episode,27562,1,2022-04-04 19:47:35.229941
27582,unload content,,,1,2022-04-04 19:47:37.236685
27561,select content,unknown,,1,2022-04-04 19:47:37.239403
27561,unload content,,,1,2022-04-04 19:47:40.475676
27555,select content,Next episode,27561,1,2022-04-04 19:47:40.477671
27555,unload content,,,1,2022-04-04 19:47:42.945522
27560,select content,Next episode,27555,1,2022-04-04 19:47:42.948068
27560,unload content,,,1,2022-04-04 19:47:44.552785
27561,select content,Next episode,27560,1,2022-04-04 19:47:44.554108
27561,unload content,,,1,2022-04-04 19:47:48.096159
27561,select content,unknown,,1,2022-04-04 19:47:48.097592
27561,unload content,,,1,2022-04-04 19:47:59.493412
27553,select content,unknown,,1,2022-04-04 19:47:59.496163
27553,unload content,,,1,2022-04-04 19:48:03.129417
27544,select content,unknown,,1,2022-04-04 19:48:03.130973
27544,unload content,,,1,2022-04-04 19:48:04.685840
27553,select content,unknown,,1,2022-04-04 19:48:04.689520
27553,unload content,,,1,2022-04-04 19:50:16.717175
27545,select content,unknown,,1,2022-04-04 19:50:16.720898
27545,unload content,,,1,2022-04-04 19:50:19.239312
27547,select content,Next episode,27545,1,2022-04-04 19:50:19.242730
27547,unload content,,,1,2022-04-04 19:50:20.863837
27555,select content,unknown,,1,2022-04-04 19:50:20.867167
27555,unload content,,,1,2022-04-04 19:50:24.342207
27582,select content,unknown,,1,2022-04-04 19:50:24.344034
27582,unload content,,,1,2022-04-04 19:50:28.457716
27555,select content,unknown,,1,2022-04-04 19:50:28.459497
27555,unload content,,,1,2022-04-04 19:50:31.764027
27545,select content,unknown,,1,2022-04-04 19:50:31.765811
27545,unload content,,,1,2022-04-04 19:50:33.634620
27544,select content,unknown,,1,2022-04-04 19:50:33.636295
27544,unload content,,,1,2022-04-04 19:50:37.481160
34183,select content,Similar to,27544,1,2022-04-04 19:50:37.483316
34183,unload content,,,1,2022-04-04 19:50:42.144799
10099,select content,Similar to,34183,1,2022-04-04 19:50:42.147666
10099,unload content,,,1,2022-04-04 19:50:50.374557
10108,select content,Next episode,10099,1,2022-04-04 19:50:50.376750
10108,unload content,,,1,2022-04-04 19:53:08.377415
10108,select content,Next episode,10108,1,2022-04-04 19:53:08.381607
10108,unload content,,,1,2022-04-04 19:53:12.771042
10101,select content,Next episode,10108,1,2022-04-04 19:53:12.773073
10101,unload content,,,1,2022-04-04 19:53:14.642306
10099,select content,Next episode,10101,1,2022-04-04 19:53:14.644534
10099,unload content,,,1,2022-04-04 20:03:51.226054
,search,,Antiques Roadsho,1,2022-04-04 20:03:51.231483
27544,select content,Title search,Antiques Roadsho,1,2022-04-04 20:03:55.535405
27544,unload content,,,1,2022-04-04 20:04:00.979316
27582,select content,unknown,,1,2022-04-04 20:04:00.981358
27582,unload content,,,1,2022-04-04 20:04:29.913362
27545,select content,unknown,,1,2022-04-04 20:04:29.915845
27545,unload content,,,1,2022-04-04 20:05:11.110619
27582,select content,unknown,,1,2022-04-04 20:05:11.114533
27582,unload content,,,1,2022-04-04 20:07:56.703985
27545,select content,unknown,,1,2022-04-04 20:07:56.708918
27545,unload content,,,1,2022-04-04 20:09:18.628079
27555,select content,Select season,27545,1,2022-04-04 20:09:18.632513
27555,unload content,,,1,2022-04-04 20:09:30.636310
27560,select content,Select episode,27555,1,2022-04-04 20:09:30.638937
27560,unload content,,,1,2022-04-04 20:09:37.977791
27559,select content,Select episode,27560,1,2022-04-04 20:09:37.980701
27559,unload content,,,1,2022-04-04 20:09:41.094173
27562,select content,Next episode,27559,1,2022-04-04 20:09:41.098623
27562,unload content,,,1,2022-04-04 20:09:43.575911
27582,select content,Next episode,27562,1,2022-04-04 20:09:43.579821
27582,unload content,,,1,2022-04-04 20:09:48.027465
33033,select content,Similar to,27582,1,2022-04-04 20:09:48.030539
33033,content_rating,,1,1,2022-04-04 20:09:52.581207
33033,unload content,,,1,2022-04-04 20:09:55.406211
26315,select content,Similar to,33033,1,2022-04-04 20:09:55.408771
26315,unload content,,,1,2022-04-04 20:09:59.102975
28546,select content,Same genre,from-the-archives,1,2022-04-04 20:09:59.105688
28546,unload content,,,1,2022-04-04 20:12:49.416407
28551,select content,Select episode,28546,1,2022-04-04 20:12:49.421026
28551,unload content,,,1,2022-04-04 20:14:00.015475
28552,select content,Next episode,28551,1,2022-04-04 20:14:00.018354
28552,unload content,,,1,2022-04-04 20:14:01.491810
28553,select content,Next episode,28552,1,2022-04-04 20:14:01.496241
28553,content_rating,,2,1,2022-04-04 20:14:04.653723
28553,unload content,,,1,2022-04-04 20:24:16.411537
,search,,Antiques Roadshow,1,2022-04-04 20:29:02.595027
27544,select content,Title search,Antiques Roadshow,1,2022-04-04 20:29:04.788148
27544,content rating,,3,1,2022-04-04 20:31:14.925029
27544,unload content,,,1,2022-04-04 20:31:23.253704
27545,select content,Next episode,27544,1,2022-04-04 20:31:23.257703
27545,content rating,,5,1,2022-04-04 20:31:26.731670
27545,unload content,,,1,2022-04-04 20:31:27.738425
27582,select content,Select season,27545,1,2022-04-04 20:31:27.757654
27582,content rating,,1,1,2022-04-04 20:31:30.459063
27582,content rating,,2,1,2022-04-04 20:34:26.626902
27582,unload content,,,1,2022-04-04 20:35:50.565656
,open profile,,,1,2022-04-04 20:38:55.041053
,logout,,,1,2022-04-04 20:38:56.407744
,login,,,1,2022-04-04 20:39:48.697054
15411,select content,Genre,comedy,1,2022-04-04 20:39:54.179046
15411,unload content,,,1,2022-04-04 20:40:10.628244
15414,select content,Select episode,15411,1,2022-04-04 20:40:10.631848
15414,unload content,,,1,2022-04-04 20:40:14.493763
